run,param_group,param_value,stage,kind,gas in pressure[kpa],gas in temp[°C],gas in enthalpy[kJ/kg],gas out pressure[kpa],gas out temp[°C],gas out enthalpy[kJ/kg],water in temp[°C],water in enthalpy[kJ/kg],water in pressure[kpa],water out temp[°C],water out enthalpy[kJ/kg],water out pressure[kpa],gas avg velocity[m/s],water avg velocity[m/s],pressure drop fric[kpa],pressure drop minor[kpa],pressure drop total[kpa],water pressure drop fric[kpa],water pressure drop minor[kpa],water pressure drop total[kpa],Q conv[MW],Q rad[MW],Q total[MW],UA[MW/K],steam capacity[t/h]
excess_air_1.2,excess_air,1.2,HX_1,single_tube,101.325,1796.3014096181423,2302.050308381483,101.32203244651629,891.7446296901568,1041.3226708449279,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,5.665394919323578,,-0.00032391777826983325,-0.0026436357054556527,-0.002967553483725486,,,,0.11865593248951024,2.44283192578642,2.5614878582759317,0.0022690000412271777,4.0910226079470995
excess_air_1.2,excess_air,1.2,HX_2,reversal_chamber,101.32203244651629,891.7446296901568,1041.3226708449279,101.32150199145605,836.8301922993904,969.305292035585,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,3.368530483208537,,-1.9270996911849082e-05,-0.000511184063297313,-0.000530455060209162,,,,0.010860185443364662,0.13546139191637124,0.14632157735973592,0.00021208575396973722,0.2336942098222807
excess_air_1.2,excess_air,1.2,HX_3,tube_bank,101.32150199145605,836.8301922993904,969.305292035585,101.25895546771295,349.9493595253846,365.326632676254,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,8.947791331159955,,-0.03755941160219612,-0.024987112140923508,-0.06254652374311963,,,,1.006161538793013,0.22097427552944324,1.2271358143224562,0.0033115927439383457,1.9598923114918572
excess_air_1.2,excess_air,1.2,HX_4,reversal_chamber,101.25895546771295,349.9493595253846,365.326632676254,101.25866678142027,345.24545038123495,359.83725836982114,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,1.8411163069188388,,-9.563596516033485e-06,-0.0002791226961764012,-0.0002886862926924347,,,,0.002248914959047747,0.00890416912524832,0.011153084084296069,6.633886942126088e-05,0.017812896902779325
excess_air_1.2,excess_air,1.2,HX_5,tube_bank,101.25866678142027,345.24545038123495,359.83725836982114,101.19887550445719,227.17898050355916,224.1562885878361,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,7.192484584353849,,-0.03592332444593566,-0.023867952517141112,-0.05979127696307678,,,,0.2568269888852124,0.018843355052722558,0.275670343937935,0.0028808014212191283,0.44028067739884535
excess_air_1.2,excess_air,1.2,HX_6,economiser,101.19887550445719,227.17898050355916,224.1562885878361,84.92002646304142,158.94971563751977,147.46353491827938,104.79547314070487,440.0,1000.0560616130049,124.42895197141138,523.1630243029025,999.9999927992161,54.93824010039068,0.03362351073900294,-10.892913250227531,-5.385935791188247,-16.27884904141578,-0.05510561883393642,-0.0009631949548554338,-0.056068813788791846,0.15571120673291478,0.00010958402673395892,0.15582079075964875,0.002182044927658414,
excess_air_1.3,excess_air,1.3,HX_1,single_tube,101.325,1691.8298080846498,2133.184124029639,101.32171704846246,906.3888997643925,1052.9149197525041,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,6.053861156068094,,-0.00036657932606277207,-0.0029163722114909536,-0.0032829515375537256,,,,0.12432750767864871,2.2444120676766923,2.3687395753553426,0.0021661706508245516,3.79441059722254
excess_air_1.3,excess_air,1.3,HX_2,reversal_chamber,101.32171704846246,906.3888997643925,1052.9149197525041,101.32109264055737,853.2989956603384,983.6915124649436,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,3.676179123424064,,-2.2368343898538556e-05,-0.0006020395611705091,-0.0006244079050690477,,,,0.011731672027858997,0.14005663821624353,0.15178831024410253,0.0002151273773874658,0.24314499530338848
excess_air_1.3,excess_air,1.3,HX_3,tube_bank,101.32109264055737,853.2989956603384,983.6915124649436,101.24785721277478,360.1053079610854,374.7620215952762,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,9.803425764482405,,-0.043748101754011955,-0.029487326028554403,-0.07323542778256635,,,,1.110916258147305,0.2243022257484851,1.3352184838957901,0.0034727014081076444,2.1388451552938554
excess_air_1.3,excess_air,1.3,HX_4,reversal_chamber,101.24785721277478,360.1053079610854,374.7620215952762,101.24751643641798,355.38163078742446,369.27413698284073,179.88563239146657,762.6828443354104,1000.0,179.88563239146657,762.6828443354104,1000.0,2.01462784794321,,-1.114987836277599e-05,-0.0003296264784324369,-0.0003407763567952129,,,,0.002527820463461234,0.00950566376011678,0.012033484223578014,6.749785090463547e-05,0.019276065859880377
